+-----------------------+---------+--------+--------+--------+---------+
| model                 | # param | NLL    | CEL    | AIC    | BIC     |
+-----------------------+---------+--------+--------+--------+---------+
| BradleyTerry          |     129 | 0.6544 |    inf | 256.69 | 1020.94 |
| BradleyTerry          |     258 | 0.6542 |    inf | 514.69 | 2043.20 |
| BradleyTerry          |     259 | 0.6542 |    inf | 516.69 | 2051.12 |
| RaoKupper             |     130 | 1.0080 | 1.0080 | 257.98 | 1028.16 |
| RaoKupper             |     259 | 1.0077 | 1.0077 | 515.98 | 2050.41 |
| RaoKupper             |     260 | 1.0077 | 1.0077 | 517.98 | 2058.34 |
| Davidson              |     130 | 1.0085 | 1.0085 | 257.98 | 1028.16 |
| Davidson              |     259 | 1.0083 | 1.0083 | 515.98 | 2050.41 |
| Davidson              |     260 | 1.0083 | 1.0083 | 517.98 | 2058.34 |
+-----------------------+---------+--------+--------+--------+---------+
